filename,blur_score
v04_frame_0679.jpg,6.385461154512708
v04_frame_0816.jpg,56.558272948360425
v04_frame_0851.jpg,98.59274378027268
v04_frame_0882.jpg,133.51332019343906
v04_frame_0813.jpg,146.9027297014966
v04_frame_0580.jpg,158.9686193478007
v04_frame_0279.jpg,167.14608072899716
v04_frame_0639.jpg,180.7888216066666
v04_frame_0006.jpg,182.55971979859913
v04_frame_0035.jpg,189.46783252780938
v04_frame_0603.jpg,194.70003773582235
v04_frame_0191.jpg,198.29476666529982
v04_frame_0009.jpg,202.53010198899256
v04_frame_0267.jpg,202.59841459671657
v04_frame_0582.jpg,205.8562031817012
v04_frame_0010.jpg,206.30565618317118
v04_frame_0263.jpg,206.83650270876348
v04_frame_0609.jpg,214.27860741621885
v04_frame_0259.jpg,215.66380522319523
v04_frame_0154.jpg,216.57371033561483
v04_frame_0666.jpg,217.0777093863487
v04_frame_0175.jpg,218.1157067113228
v04_frame_0809.jpg,219.08860744466773
v04_frame_0165.jpg,219.30545418712364
v04_frame_0635.jpg,221.7355417698566
v04_frame_0012.jpg,222.69423062293788
v04_frame_0013.jpg,224.3735397646292
v04_frame_0632.jpg,225.2146252057287
v04_frame_0152.jpg,228.4006454418029
v04_frame_0179.jpg,229.10772059309224
v04_frame_0252.jpg,232.19878355694865
v04_frame_0180.jpg,232.77920138886984
v04_frame_0606.jpg,234.02156989271262
v04_frame_0584.jpg,237.26336552144744
v04_frame_0852.jpg,241.74410456313026
v04_frame_0166.jpg,241.99906889872616
v04_frame_0177.jpg,244.25124781561473
v04_frame_0164.jpg,245.96527570003815
v04_frame_0022.jpg,246.84823890684964
v04_frame_0011.jpg,246.99445740514219
v04_frame_0078.jpg,249.04834093521958
v04_frame_0670.jpg,249.89963410870115
v04_frame_0181.jpg,250.27429044226062
v04_frame_0834.jpg,254.0728937267715
v04_frame_0911.jpg,255.4476095829529
v04_frame_0262.jpg,255.8436035150021
v04_frame_0583.jpg,256.55718621124913
v04_frame_0264.jpg,257.47142130164644
v04_frame_0187.jpg,260.52457898881687
v04_frame_0983.jpg,260.9103920317179
v04_frame_0162.jpg,266.37374565060463
v04_frame_0265.jpg,266.59605193714566
v04_frame_0186.jpg,266.81402311174844
v04_frame_0678.jpg,266.93043096821987
v04_frame_0020.jpg,271.24251838443774
v04_frame_0801.jpg,271.2620106164426
v04_frame_0032.jpg,273.125450935777
v04_frame_0192.jpg,273.62028752672995
v04_frame_0084.jpg,275.2731163892852
v04_frame_0008.jpg,276.4758853333603
v04_frame_0156.jpg,280.12057867732585
v04_frame_0870.jpg,281.106403337601
v04_frame_0662.jpg,281.5022118479399
v04_frame_0159.jpg,283.0142207373677
v04_frame_0669.jpg,283.82966892010614
v04_frame_0587.jpg,285.7130742567263
v04_frame_0270.jpg,286.0318088022574
v04_frame_0261.jpg,286.7619421806759
v04_frame_0835.jpg,286.9286501719108
v04_frame_0218.jpg,287.3164768066219
v04_frame_0817.jpg,287.56588424766323
v04_frame_0634.jpg,287.8669626898011
v04_frame_0390.jpg,288.2120810760875
v04_frame_0789.jpg,288.4048859638533
v04_frame_0602.jpg,288.6320306991577
v04_frame_0080.jpg,290.7556872456822
v04_frame_0158.jpg,291.48022013696624
v04_frame_0193.jpg,292.998400799503
v04_frame_0392.jpg,294.650213253557
v04_frame_0083.jpg,295.199164019733
v04_frame_0260.jpg,295.3962185046996
v04_frame_0284.jpg,296.4179531950587
v04_frame_0173.jpg,296.7832462473928
v04_frame_0640.jpg,297.0159318200748
v04_frame_0610.jpg,297.7057451946578
v04_frame_0190.jpg,300.7673631794822
v04_frame_0160.jpg,302.5529089374673
v04_frame_0145.jpg,304.4792983553839
v04_frame_0024.jpg,304.9866785834407
v04_frame_0153.jpg,305.2391523821607
v04_frame_0105.jpg,305.4220351833014
v04_frame_0951.jpg,305.55309567556395
v04_frame_0539.jpg,305.77427486977285
v04_frame_0033.jpg,305.8959751147692
v04_frame_0641.jpg,306.6128833570586
v04_frame_0161.jpg,307.8369303192034
v04_frame_0956.jpg,308.65480132843646
v04_frame_0612.jpg,310.98105770322894
v04_frame_0151.jpg,311.39797298712085
v04_frame_0176.jpg,311.6232387855801
v04_frame_0157.jpg,313.1259926435104
v04_frame_0183.jpg,313.5933405736807
v04_frame_0359.jpg,313.72828608350284
v04_frame_0884.jpg,313.759173803711
v04_frame_0029.jpg,315.3335872273339
v04_frame_0877.jpg,316.14376393499384
v04_frame_0247.jpg,316.5507866323954
v04_frame_0239.jpg,317.33549866760626
v04_frame_0807.jpg,319.33856064707436
v04_frame_0170.jpg,323.86764841168736
v04_frame_0397.jpg,324.6429263366592
v04_frame_0221.jpg,325.16339293679005
v04_frame_0811.jpg,325.3938828981086
v04_frame_0069.jpg,326.41604845546675
v04_frame_0099.jpg,327.3594669050417
v04_frame_0948.jpg,327.5487044262874
v04_frame_0625.jpg,327.6704554734925
v04_frame_0171.jpg,327.8148173177083
v04_frame_0273.jpg,329.22846229102885
v04_frame_0950.jpg,329.99706953599264
v04_frame_0251.jpg,330.6641080726151
v04_frame_0791.jpg,331.32045323754636
v04_frame_0224.jpg,331.3478580717112
v04_frame_0439.jpg,332.2699549034953
v04_frame_0174.jpg,332.33167398070225
